section_label;start_sec;end_sec;issue_auto;confidence_auto;boundary_time_sec
Section_01;0.0;10.090666666666667;ok;0.90;0.0
Section_02;10.090666666666667;20.096;false_boundary;0.10;10.090666666666667
Section_03;20.096;30.101333333333333;false_boundary;0.10;20.096
Section_04;30.101333333333333;40.23466666666667;false_boundary;0.10;30.101333333333333
Section_05;40.23466666666667;50.29333333333334;false_boundary;0.05;40.23466666666667
Section_06;50.29333333333334;60.32;false_boundary;0.05;50.29333333333334
Section_07;60.32;70.48533333333333;false_boundary;0.05;70.48533333333333
Section_08;70.48533333333333;80.71466666666667;false_boundary;0.05;70.48533333333333
Section_09;80.71466666666667;90.77333333333333;false_boundary;0.20;80.71466666666667
Section_10;90.77333333333333;100.8;false_boundary;0.10;90.77333333333333
Section_11;100.8;110.848;false_boundary;0.05;100.8
Section_12;110.848;120.97066666666667;false_boundary;0.05;110.848
Section_13;120.97066666666667;131.232;false_boundary;0.05;120.97066666666667
Section_14;131.232;141.42933333333335;false_boundary;0.05;131.232
Section_15;141.42933333333335;151.47733333333332;false_boundary;0.05;141.42933333333335
Section_16;151.47733333333332;161.51466666666667;boundary_shift_early;0.6;151.47733333333332
Section_17;161.51466666666667;171.53066666666666;false_boundary;0.05;161.51466666666667
Section_18;171.53066666666666;181.61066666666667;false_boundary;0.10;171.53066666666666
Section_19;181.61066666666667;191.75466666666668;false_boundary;0.10;181.61066666666667
Section_20;191.75466666666668;201.78133333333332;false_boundary;0.05;191.75466666666668
Section_21;201.78133333333332;212.128;boundary_shift_late;0.7;201.78133333333332
Section_22;212.128;222.176;false_boundary;0.05;212.128
Section_23;222.176;232.26666666666668;false_boundary;0.05;222.176
Section_24;232.26666666666668;242.336;false_boundary;0.10;232.26666666666668
Section_25;242.336;252.59733333333332;false_boundary;0.10;242.336
Section_26;252.59733333333332;262.656;false_boundary;0.10;252.59733333333332
Section_27;262.656;274.63997916666665;on_silence;0.20;262.656
Section_missing;56.532408;NONE;missing_boundary;0.6;NONE
Section_missing;128.820986;NONE;missing_boundary;0.75;NONE
