section_label;start_sec;end_sec;issue_auto;confidence_auto;boundary_time_sec
Section_01;0.0;12.039546485260772;ok;0.90;0.0
Section_02;12.039546485260772;22.175056689342405;false_boundary;0.20;12.039546485260772
Section_03;22.175056689342405;32.287346938775514;boundary_shift_late;0.6;22.175056689342405
Section_04;32.287346938775514;43.1891156462585;false_boundary;0.05;32.287346938775514
Section_05;43.1891156462585;59.89877551020408;false_boundary;0.10;43.1891156462585
Section_missing;40.819906;NONE;missing_boundary;0.8;NONE
