section_label;start_sec;end_sec;issue_auto;confidence_auto;boundary_time_sec
Section_01;0.0;10.229333333333333;ok;0.90;0
Section_02;10.229333333333333;20.266666666666666;boundary_shift_early;0.6;10.229333333333333
Section_03;20.266666666666666;30.293333333333333;severe_boundary_shift_early;0.5;20.266666666666666
Section_04;30.293333333333333;40.40533333333333;false_boundary;0.10;30.293333333333333
Section_05;40.40533333333333;50.50666666666667;false_boundary;0.05;40.40533333333333
Section_06;50.50666666666667;64.95997916666667;false_boundary;0.05;50.50666666666667
Section_missing;21.309345;NONE;missing_boundary;0.75;NONE
Section_missing;52.626278;NONE;missing_boundary;0.80;NONE
