section_label;start_sec;end_sec;issue_auto;confidence_auto;boundary_time_sec
Section_01;0.0;10.378666666666666;ok;0.90;0.0
Section_02;10.378666666666666;20.426666666666666;false_boundary;0.05;10.378666666666666
Section_03;20.426666666666666;30.965333333333334;false_boundary;0.05;20.426666666666666
Section_04;30.965333333333334;41.04533333333333;false_boundary;0.05;30.965333333333334
Section_05;41.04533333333333;51.050666666666665;false_boundary;0.05;41.04533333333333
Section_06;51.050666666666665;61.10933333333333;false_boundary;0.05;51.050666666666665
Section_07;61.10933333333333;71.232;false_boundary;0.05;61.10933333333333
Section_08;71.232;81.32266666666666;false_boundary;0.05;71.232
Section_09;81.32266666666666;91.41333333333333;false_boundary;0.05;81.32266666666666
Section_10;91.41333333333333;101.41866666666667;false_boundary;0.05;91.41333333333333
Section_11;101.41866666666667;111.46666666666667;false_boundary;0.05;101.41866666666667
Section_12;111.46666666666667;121.61066666666666;false_boundary;0.05;111.46666666666667
Section_13;121.61066666666666;131.68;on_silence;0.10;121.61066666666666
Section_14;131.68;141.70666666666668;false_boundary;0.05;131.68
Section_15;141.70666666666668;151.72266666666667;false_boundary;0.05;141.70666666666668
Section_16;151.72266666666667;161.78133333333332;false_boundary;0.05;151.72266666666667
Section_17;161.78133333333332;171.81866666666667;false_boundary;0.05;161.78133333333332
Section_18;171.81866666666667;181.83466666666666;ok;0.7;171.81866666666667
Section_19;181.83466666666666;191.872;false_boundary;0.05;181.83466666666666
Section_20;191.872;202.00533333333334;false_boundary;0.05;191.872
Section_21;202.00533333333334;212.01066666666668;false_boundary;0.0;202.00533333333334
Section_22;212.01066666666668;224.03997916666665;false_boundary;0.05;212.01066666666668
Section_missing;25.711357;NONE;missing_boundary;0.6;NONE
Section_missing;56.297270;NONE;missing_boundary;0.6;NONE
Section_missing;123.120686;NONE;missing_boundary;0.7;NONE
