section_label;start_sec;end_sec;issue_auto;confidence_auto;boundary_time_sec
Section_01;0.0;10.229333333333333;ok;0.90;0.0
Section_02;10.229333333333333;21.493333333333332;false_boundary;0.10;10.229333333333333
Section_03;21.493333333333332;31.861333333333334;false_boundary;0.20;21.493333333333332
Section_04;31.861333333333334;41.93066666666667;false_boundary;0.05;31.861333333333334
Section_05;41.93066666666667;51.968;ok;0.9;41.93066666666667
Section_06;51.968;62.42133333333334;false_boundary;0.10;51.968
Section_07;62.42133333333334;72.448;false_boundary;0.10;62.42133333333334
Section_08;72.448;84.30933333333333;false_boundary;0.05;72.448
Section_09;84.30933333333333;94.34666666666666;false_boundary;0.05;84.30933333333333
Section_10;94.34666666666666;104.352;false_boundary;0.05;94.34666666666666
Section_11;104.352;114.4;false_boundary;0.05;104.352
Section_12;114.4;124.82133333333333;false_boundary;0.05;114.4
Section_13;124.82133333333333;134.93333333333334;false_boundary;0.05;124.82133333333333
Section_14;134.93333333333334;145.01333333333332;boundary_shift_early;0.6;134.93333333333334
Section_15;145.01333333333332;155.15733333333333;false_boundary;0.10;145.01333333333332
Section_16;155.15733333333333;165.22666666666666;false_boundary;0.05;155.15733333333333
Section_17;165.22666666666666;175.232;severe_boundary_shift_late;0.5;165.22666666666666
Section_18;175.232;186.74133333333333;false_boundary;0.05;175.232
Section_19;186.74133333333333;197.04533333333333;false_boundary;0.10;186.74133333333333
Section_20;197.04533333333333;207.94666666666666;false_boundary;0.10;197.04533333333333
Section_21;207.94666666666666;218.38933333333333;false_boundary;0.10;207.94666666666666
Section_22;218.38933333333333;233.59997916666666;false_boundary;0.10;218.38933333333333
Section_missing;14.421056;NONE;missing_boundary;0.8;NONE
Section_missing;56.987075;NONE;missing_boundary;0.8;NONE
Section_missing;92.613545;NONE;missing_boundary;0.8;NONE
Section_missing;120.395946;NONE;missing_boundary;0.8;NONE
Section_missing;164.115841;NONE;missing_boundary;0.7;NONE
Section_missing;180.545310;NONE;missing_boundary;0.8;NONE
Section_missing;212.897940;NONE;missing_boundary;0.8;NONE
