section;start_sec;end_sec;instruments;mood;energy;function;confidence_manual
Intro;0.000;25.711357;low cello drones;atmospheric;low;intro;0.8
Main_Theme;25.711357;56.297270;low cello drones, cello;emotive, contemplative;medium;theme;0.6
Build;56.297270;123.120686;low cello drones, cello, piano;emotional, majestic;medium;build;0.6
Expansive_Variation;123.120686;171.772490;low cello drones, cello, piano;majestic, expansive;medium;variation;0.7
Final_Section;171.772490;224.039979;low cello drones, cello, piano;emotive, contemplative;medium;theme_reprise;0.7
