title;bpm_est
P01 Model A SUNO 4.5.mp3;198.8
P02 Model B ElevenLabs.mp3;99.4
P03 Model A Suno 4.5.mp3;136.0
Prompt 3 v2 SUNO 4.5.mp3;126.0
Prompt 3 v3 SUNO 4.5.mp3;84.7
Prompt 5 v2 (finale) SUNO 4.5.mp3;120.2
